epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2371,1.00602,0.63171,1.98148,0.92326,0.8927,0.94806,0.789,1.555,1.21582,2.49952,0.066869,3.31641e-05,3.31641e-05
2,111.601,0.91654,0.55397,1.94545,0.90464,0.9055,0.94932,0.78333,1.62651,1.3363,2.53988,0.033569,6.64934e-05,6.64934e-05
3,164.424,0.87363,0.52985,1.92859,0.94628,0.84618,0.92159,0.77621,1.62045,1.36963,2.54756,0.000269011,9.98064e-05,9.98064e-05
4,217.103,0.84435,0.50737,1.90871,0.92178,0.88953,0.95072,0.79506,1.57521,1.20736,2.53726,9.9945e-05,9.9945e-05,9.9945e-05
5,269.926,0.82928,0.49091,1.90637,0.93686,0.87024,0.94597,0.79629,1.55171,1.12721,2.53182,9.99023e-05,9.99023e-05,9.99023e-05
6,322.53,0.81295,0.4869,1.90356,0.92734,0.86787,0.9224,0.77764,1.51059,1.41257,2.40911,9.98474e-05,9.98474e-05,9.98474e-05
7,375.176,0.80203,0.48,1.89246,0.91566,0.88709,0.94487,0.79131,1.53127,1.26867,2.43482,9.97803e-05,9.97803e-05,9.97803e-05
8,427.92,0.79744,0.48058,1.88836,0.91628,0.88073,0.95593,0.78208,1.63906,0.99535,2.5857,9.97011e-05,9.97011e-05,9.97011e-05
9,481.799,0.79012,0.46725,1.8832,0.95426,0.85839,0.9544,0.80153,1.60777,0.931,2.54992,9.96097e-05,9.96097e-05,9.96097e-05
10,534.981,0.78276,0.46729,1.8804,0.93355,0.86276,0.94099,0.79275,1.57454,1.11102,2.53365,9.95062e-05,9.95062e-05,9.95062e-05
11,588.583,0.77904,0.45949,1.88087,0.92806,0.87721,0.94048,0.78513,1.62959,1.16567,2.52604,9.93906e-05,9.93906e-05,9.93906e-05
12,642.016,0.76893,0.45306,1.87485,0.90402,0.8509,0.92462,0.77104,1.61224,1.37973,2.53172,9.92629e-05,9.92629e-05,9.92629e-05
13,694.968,0.76166,0.45154,1.87556,0.93984,0.86089,0.93253,0.78229,1.65788,1.23416,2.54098,9.91232e-05,9.91232e-05,9.91232e-05
14,747.744,0.74543,0.45035,1.85645,0.94104,0.86624,0.93723,0.79253,1.63355,1.20517,2.53272,9.89715e-05,9.89715e-05,9.89715e-05
15,800.601,0.75222,0.44709,1.86731,0.91954,0.8912,0.94779,0.79499,1.59354,1.28581,2.50092,9.88079e-05,9.88079e-05,9.88079e-05
16,853.909,0.72935,0.44059,1.85876,0.92708,0.88828,0.94174,0.79335,1.57636,1.19788,2.50334,9.86323e-05,9.86323e-05,9.86323e-05
